,SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,PERIODE_FACTURATION,DAILY_CONSUM,NB_INVOICES_SITE
0,0001BB,2018-01-01,2018-01-31,2447,"316,46",30,81.56666666666666,35
1,0001BB,2018-01-02,2018-02-28,2211,"286,82",57,38.78947368421053,35
2,0001BB,2018-01-03,2018-03-31,2450,"317,32",87,28.160919540229884,35
3,0001BB,2018-01-04,2018-04-30,2431,"315,00",116,20.95689655172414,35
4,0001BB,2018-01-05,2018-05-31,2574,"333,37",146,17.63013698630137,35
5,0001BB,2018-01-06,2018-06-30,2830,"365,27",175,16.17142857142857,35
6,0001BB,2018-01-07,2018-07-31,3028,"390,39",205,14.770731707317074,35
7,0001BB,2018-01-08,2018-08-31,3053,"393,99",235,12.991489361702127,35
8,0001BB,2018-01-09,2018-09-30,2915,"378,35",264,11.041666666666666,35
9,0001BB,2018-01-10,2018-10-31,2986,"387,05",294,10.156462585034014,35
10,0001BB,2018-01-11,2018-11-30,2871,"372,47",323,8.888544891640867,35
11,0001BB,2018-01-12,2018-12-31,3086,"399,30",353,8.742209631728045,35
12,0001BB,2019-01-01,2019-01-31,3094,"381,40",30,103.13333333333334,35
13,0001BB,2019-01-02,2019-02-28,2767,"345,87",57,48.54385964912281,35
14,0001BB,2019-01-03,2019-03-31,3059,"378,18",87,35.160919540229884,35
15,0001BB,2019-01-04,2019-04-30,2761,"340,84",116,23.801724137931036,35
16,0001BB,2019-01-05,2019-05-31,2844,"349,26",146,19.47945205479452,35
17,0001BB,2019-01-06,2019-06-30,3009,"369,19",175,17.194285714285716,35
18,0001BB,2019-01-07,2019-07-31,3016,"371,20",205,14.71219512195122,35
19,0001BB,2019-01-08,2019-08-31,3089,"380,42",235,13.14468085106383,35
20,0001BB,2019-01-09,2019-09-30,2914,"361,36",264,11.037878787878787,35
21,0001BB,2019-01-10,2019-10-31,2963,"366,70",294,10.078231292517007,35
22,0001BB,2019-01-11,2019-11-30,2797,"345,89",323,8.659442724458204,35
23,0001BB,2019-01-12,2019-12-31,2859,"353,08",353,8.09915014164306,35
24,0001BB,2020-01-01,2020-01-31,2863,"414,93",30,95.43333333333334,35
25,0001BB,2020-01-02,2020-02-29,2663,"387,22",58,45.91379310344828,35
26,0001BB,2020-01-03,2020-03-31,2759,"403,25",88,31.352272727272727,35
27,0001BB,2020-01-04,2020-04-30,2680,"390,79",117,22.905982905982906,35
28,0001BB,2020-01-05,2020-05-31,2797,"407,48",147,19.027210884353742,35
29,0001BB,2020-01-06,2020-06-30,2796,"407,77",176,15.886363636363637,35
30,0001BB,2020-01-07,2020-07-31,2952,"429,09",206,14.330097087378642,35
31,0001BB,2020-01-08,2020-08-31,3014,"435,98",236,12.771186440677965,35
32,0001BB,2020-01-09,2020-09-30,2857,"411,97",265,10.781132075471698,35
33,0001BB,2020-01-10,2020-10-31,2905,"413,41",295,9.847457627118644,35
34,0001BB,2020-01-11,2020-11-30,2755,"383,02",324,8.503086419753087,35
35,0001BR,2018-01-01,2018-01-31,2438,"266,43",30,81.26666666666667,35
36,0001BR,2018-01-02,2018-02-28,2211,"242,33",57,38.78947368421053,35
37,0001BR,2018-01-03,2018-03-31,2453,"267,95",87,28.195402298850574,35
38,0001BR,2018-01-04,2018-04-30,2414,"263,78",116,20.810344827586206,35
39,0001BR,2018-01-05,2018-05-31,2517,"274,62",146,17.23972602739726,35
40,0001BR,2018-01-06,2018-06-30,2461,"268,63",175,14.062857142857142,35
41,0001BR,2018-01-07,2018-07-31,2560,"279,26",205,12.487804878048781,35
42,0001BR,2018-01-08,2018-08-31,2597,"283,07",235,11.051063829787234,35
43,0001BR,2018-01-09,2018-09-30,2436,"267,99",264,9.227272727272727,35
44,0001BR,2018-01-10,2018-10-31,2497,"274,50",294,8.493197278911564,35
45,0001BR,2018-01-11,2018-11-30,2397,"263,82",323,7.421052631578948,35
46,0001BR,2018-01-12,2018-12-31,2452,"269,69",353,6.946175637393767,35
47,0001BR,2019-01-01,2019-01-31,2460,"264,03",30,82.0,35
48,0001BR,2019-01-02,2019-02-28,2229,"239,96",57,39.10526315789474,35
49,0001BR,2019-01-03,2019-03-31,2475,"265,56",87,28.448275862068964,35
50,0001BR,2019-01-04,2019-04-30,2410,"258,76",116,20.775862068965516,35
51,0001BR,2019-01-05,2019-05-31,2508,"268,92",146,17.17808219178082,35
52,0001BR,2019-01-06,2019-06-30,2529,"270,94",175,14.451428571428572,35
53,0001BR,2019-01-07,2019-07-31,2593,"277,63",205,12.648780487804878,35
54,0001BR,2019-01-08,2019-08-31,2603,"278,60",235,11.076595744680851,35
55,0001BR,2019-01-09,2019-09-30,2595,"277,20",264,9.829545454545455,35
56,0001BR,2019-01-10,2019-10-31,2708,"288,79",294,9.210884353741497,35
57,0001BR,2019-01-11,2019-11-30,2595,"277,07",323,8.034055727554179,35
58,0001BR,2019-01-12,2019-12-31,2648,"282,57",353,7.501416430594901,35
59,0001BR,2020-01-01,2020-01-31,2600,"330,81",30,86.66666666666667,35
60,0001BR,2020-01-02,2020-02-29,2445,"311,57",58,42.1551724137931,35
61,0001BR,2020-01-03,2020-03-31,2609,"330,32",88,29.647727272727273,35
62,0001BR,2020-01-04,2020-04-30,2629,"332,70",117,22.47008547008547,35
63,0001BR,2020-01-05,2020-05-31,2735,"345,77",147,18.60544217687075,35
64,0001BR,2020-01-06,2020-06-30,2687,"339,78",176,15.267045454545455,35
65,0001BR,2020-01-07,2020-07-31,2854,"360,33",206,13.854368932038835,35
66,0001BR,2020-01-08,2020-08-31,2886,"364,21",236,12.228813559322035,35
67,0001BR,2020-01-09,2020-09-30,2761,"348,79",265,10.418867924528302,35
68,0001BR,2020-01-10,2020-10-31,2802,"353,90",295,9.498305084745763,35
69,0001BR,2020-01-11,2020-11-30,2677,"338,44",324,8.262345679012345,35
70,0001KO,2018-01-01,2018-01-31,2179,"268,53",30,72.63333333333334,35
71,0001KO,2018-01-02,2018-02-28,1971,"243,47",57,34.578947368421055,35
72,0001KO,2018-01-03,2018-03-31,2191,"269,98",87,25.183908045977013,35
73,0001KO,2018-01-04,2018-04-30,2370,"291,55",116,20.43103448275862,35
74,0001KO,2018-01-05,2018-05-31,2647,"324,92",146,18.13013698630137,35
75,0001KO,2018-01-06,2018-06-30,2634,"323,35",175,15.051428571428572,35
76,0001KO,2018-01-07,2018-07-31,2799,"343,43",205,13.653658536585366,35
77,0001KO,2018-01-08,2018-08-31,2908,"356,57",235,12.374468085106383,35
78,0001KO,2018-01-09,2018-09-30,2483,"307,29",264,9.405303030303031,35
79,0001KO,2018-01-10,2018-10-31,2297,"284,72",294,7.812925170068027,35
80,0001KO,2018-01-11,2018-11-30,2130,"264,46",323,6.594427244582043,35
81,0001KO,2018-01-12,2018-12-31,2489,"308,02",353,7.050991501416431,35
82,0001KO,2019-01-01,2019-01-31,2679,"364,03",30,89.3,35
83,0001KO,2019-01-02,2019-02-28,2429,"330,63",57,42.6140350877193,35
84,0001KO,2019-01-03,2019-03-31,2648,"359,89",87,30.436781609195403,35
85,0001KO,2019-01-04,2019-04-30,2478,"337,18",116,21.362068965517242,35
86,0001KO,2019-01-05,2019-05-31,2535,"344,79",146,17.363013698630137,35
87,0001KO,2019-01-06,2019-06-30,2884,"391,43",175,16.48,35
88,0001KO,2019-01-07,2019-07-31,2872,"389,82",205,14.009756097560976,35
89,0001KO,2019-01-08,2019-08-31,2978,"403,99",235,12.672340425531916,35
90,0001KO,2019-01-09,2019-09-30,2529,"343,99",264,9.579545454545455,35
91,0001KO,2019-01-10,2019-10-31,2487,"338,38",294,8.459183673469388,35
92,0001KO,2019-01-11,2019-11-30,2384,"324,62",323,7.3808049535603715,35
93,0001KO,2019-01-12,2019-12-31,2463,"335,17",353,6.977337110481586,35
94,0001KO,2020-01-01,2020-01-31,2454,"331,90",30,81.8,35
95,0001KO,2020-01-02,2020-02-29,2377,"321,70",58,40.98275862068966,35
96,0001KO,2020-01-03,2020-03-31,2596,"350,71",88,29.5,35
97,0001KO,2020-01-04,2020-04-30,2675,"365,40",117,22.863247863247864,35
98,0001KO,2020-01-05,2020-05-31,2781,"375,22",147,18.918367346938776,35
99,0001KO,2020-01-06,2020-06-30,2989,"402,77",176,16.982954545454547,35
100,0001KO,2020-01-07,2020-07-31,3322,"446,89",206,16.12621359223301,35
101,0001KO,2020-01-08,2020-08-31,3109,"418,67",236,13.173728813559322,35
102,0001KO,2020-01-09,2020-09-30,2911,"392,44",265,10.984905660377358,35
103,0001KO,2020-01-10,2020-10-31,2747,"370,72",295,9.31186440677966,35
104,0001KO,2020-01-11,2020-11-30,2625,"354,55",324,8.101851851851851,35
105,0002BB,2018-01-01,2018-01-31,2376,"310,46",30,79.2,35
106,0002BB,2018-01-02,2018-02-28,2160,"283,07",57,37.89473684210526,35
107,0002BB,2018-01-03,2018-03-31,2390,"313,01",87,27.471264367816094,35
108,0002BB,2018-01-04,2018-04-30,2378,"311,80",116,20.5,35
109,0002BB,2018-01-05,2018-05-31,2529,"330,93",146,17.32191780821918,35
110,0002BB,2018-01-06,2018-06-30,2790,"363,65",175,15.942857142857143,35
111,0002BB,2018-01-07,2018-07-31,2988,"388,77",205,14.575609756097561,35
112,0002BB,2018-01-08,2018-08-31,3019,"393,19",235,12.846808510638297,35
113,0002BB,2018-01-09,2018-09-30,2873,"376,62",264,10.882575757575758,35
114,0002BB,2018-01-10,2018-10-31,2940,"384,79",294,10.0,35
115,0002BB,2018-01-11,2018-11-30,2821,"369,46",323,8.73374613003096,35
116,0002BB,2018-01-12,2018-12-31,3029,"395,45",353,8.580736543909348,35
117,0002BB,2019-01-01,2019-01-31,3033,"378,02",30,101.1,35
118,0002BB,2019-01-02,2019-02-28,2684,"339,51",57,47.08771929824562,35
119,0002BB,2019-01-03,2019-03-31,3008,"376,16",87,34.57471264367816,35
120,0002BB,2019-01-04,2019-04-30,2663,"332,01",116,22.95689655172414,35
121,0002BB,2019-01-05,2019-05-31,2741,"339,86",146,18.773972602739725,35
122,0002BB,2019-01-06,2019-06-30,2952,"364,23",175,16.86857142857143,35
123,0002BB,2019-01-07,2019-07-31,2914,"363,68",205,14.214634146341464,35
124,0002BB,2019-01-08,2019-08-31,2965,"368,84",235,12.617021276595745,35
125,0002BB,2019-01-09,2019-09-30,2819,"352,21",264,10.678030303030303,35
126,0002BB,2019-01-10,2019-10-31,2927,"364,86",294,9.95578231292517,35
127,0002BB,2019-01-11,2019-11-30,2773,"346,35",323,8.58513931888545,35
128,0002BB,2019-01-12,2019-12-31,2822,"351,90",353,7.994334277620396,35
129,0002BB,2020-01-01,2020-01-31,2830,"406,02",30,94.33333333333333,35
130,0002BB,2020-01-02,2020-02-29,2625,"378,86",58,45.258620689655174,35
131,0002BB,2020-01-03,2020-03-31,2734,"396,33",88,31.068181818181817,35
132,0002BB,2020-01-04,2020-04-30,2644,"382,45",117,22.5982905982906,35
133,0002BB,2020-01-05,2020-05-31,2753,"397,69",147,18.727891156462587,35
134,0002BB,2020-01-06,2020-06-30,2763,"399,57",176,15.698863636363637,35
135,0002BB,2020-01-07,2020-07-31,2904,"418,43",206,14.097087378640778,35
136,0002BB,2020-01-08,2020-08-31,2962,"425,38",236,12.55084745762712,35
137,0002BB,2020-01-09,2020-09-30,2828,"406,82",265,10.671698113207547,35
138,0002BB,2020-01-10,2020-10-31,2875,"412,79",295,9.745762711864407,35
139,0002BB,2020-01-11,2020-11-30,2739,"381,14",324,8.453703703703704,35
140,0002BR,2018-01-01,2018-01-31,2187,"239,96",30,72.9,35
141,0002BR,2018-01-02,2018-02-28,1985,"218,51",57,34.824561403508774,35
142,0002BR,2018-01-03,2018-03-31,2209,"242,16",87,25.39080459770115,35
143,0002BR,2018-01-04,2018-04-30,2151,"235,47",116,18.54310344827586,35
144,0002BR,2018-01-05,2018-05-31,2251,"245,79",146,15.417808219178083,35
145,0002BR,2018-01-06,2018-06-30,2207,"241,00",175,12.611428571428572,35
146,0002BR,2018-01-07,2018-07-31,2290,"249,83",205,11.170731707317072,35
147,0002BR,2018-01-08,2018-08-31,2316,"252,45",235,9.85531914893617,35
148,0002BR,2018-01-09,2018-09-30,2172,"239,10",264,8.227272727272727,35
149,0002BR,2018-01-10,2018-10-31,2216,"244,03",294,7.537414965986395,35
150,0002BR,2018-01-11,2018-11-30,2313,"254,38",323,7.1609907120743035,35
